Sample,HR_Real,RR_Real,HR_Gen,RR_Gen,MSE_Time,PSNR,Corr,MSE_Freq,Orig_Peak1_Freq,Orig_Peak2_Freq,Orig_Peak3_Freq,Gen_Peak1_Freq,Gen_Peak2_Freq,Gen_Peak3_Freq
1,0.30996247191914283,-0.860500672941968,84.00000000000001,12.0,0.011140828109666824,17.017887940345698,-0.09429410177725586,4.4459701989327066e-07,0,0,0,0,0,0
2,-0.5780346486306611,-1.0442464712542563,84.00000000000001,12.0,0.028925622800207974,14.642971956635204,-0.014950722283439908,4.003650739406294e-06,1.6,0,0,0,0,0
3,0.49989456462317416,-0.5541615876222817,84.00000000000001,12.0,0.07051164328095307,10.857386433422791,0.10295087307352072,3.908527465664825e-05,1.5,3.0,0,0,0,0
4,0.43362720722740783,0.517650100675126,84.00000000000001,12.0,0.006990370243293674,17.854076131521044,0.07467627097081685,2.4067931644441417e-07,0,0,0,0,0,0
5,-1.5623279218312707,0.2438675165715333,84.00000000000001,12.0,0.02057968358793401,15.306888036104809,-0.033620552683940076,1.707774936025529e-06,1.5,3.0,0,0,0,0
6,-0.7625654133199047,-0.7895752460941294,84.00000000000001,12.0,0.015380556036971737,14.848462507109023,0.02555319103178156,1.437726391187108e-06,1.5,0,0,0,0,0
7,-0.5386970483304909,0.2172376014519636,84.00000000000001,12.0,0.018861011154105222,16.20857699408814,0.09735574051049876,1.587451212268499e-06,0,0,0,0,0,0
8,-0.3932856697053193,-0.17678766151107422,84.00000000000001,12.0,0.012114715470254854,16.62981981714983,-0.028134121435245702,6.10112692203915e-07,0,0,0,0,0,0
9,0.11760615255501808,0.45433199659404283,84.00000000000001,12.0,0.02527539818252519,14.085763453740267,-0.0012639009753056755,7.169427644605446e-07,0,0,0,0,0,0
10,0.14774944352415983,0.9920386677382431,84.00000000000001,12.0,0.021756870883561073,14.195866827189523,-0.045018425896054724,2.769445778543608e-06,1.5,2.9000000000000004,0,0,0,0
